"study_word	test	textbox.text	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate"
"	t_g_r	tiger	[-0.009114583333333334]	[-0.296875]	[1]	[0]	[0]	[4.007421700000123]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	l_p_op 	laptop	[-0.0013020833333333333]	[-0.296875]	[1]	[0]	[0]	[3.510336700001062]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_a_b_t 	rabbit	[-0.0013020833333333333]	[-0.296875]	[1]	[0]	[0]	[5.124558100000286]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	c_m_r_	camera	[-0.0013020833333333333]	[-0.30078125]	[1]	[0]	[0]	[3.2938632000004873]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	c_a_r 	clair	[-0.0013020833333333333]	[-0.3033854166666667]	[1]	[0]	[0]	[9.860588799998368]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	b_s_m__t 	basement	[-0.0013020833333333333]	[-0.3033854166666667]	[1]	[0]	[0]	[3.5427099999978964]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_o_s_	toast	[-0.0013020833333333333]	[-0.3033854166666667]	[1]	[0]	[0]	[9.094524200001615]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	s_h_o_ 		[]	[]	[]	[]	[]	[]	[]	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	i_s_a_r_m 	instagram	[-0.0013020833333333333]	[-0.3033854166666667]	[1]	[0]	[0]	[4.894449899999017]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	d_s_e_ 	duster	[-0.0013020833333333333]	[-0.3033854166666667]	[1]	[0]	[0]	[5.41376080000191]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_e_k 	e	[]	[]	[]	[]	[]	[]	[]	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	c_s_h_o_n	cushion	[0.010416666666666666]	[-0.3177083333333333]	[1]	[0]	[0]	[8.275821400002314]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_p_a_d_	ipad	[0.01953125]	[-0.2981770833333333]	[1]	[0]	[0]	[8.376920999999129]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	s_c_e_ 	so	[]	[]	[]	[]	[]	[]	[]	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_ea_o_	peacock	[0.022135416666666668]	[-0.3046875]	[1]	[0]	[0]	[9.65838040000017]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_ia_n_	piano	[0.022135416666666668]	[-0.3046875]	[1]	[0]	[0]	[8.342161500000657]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	o_a_n_e	orange	[0.022135416666666668]	[-0.3046875]	[1]	[0]	[0]	[6.760437599998113]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_a_e	sane	[0.022135416666666668]	[-0.3046875]	[1]	[0]	[0]	[4.262115900000936]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_l_w_r 	glower	[0.022135416666666668]	[-0.3046875]	[1]	[0]	[0]	[7.691709900002024]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_l_s_ 	else	[0.022135416666666668]	[-0.3046875]	[1]	[0]	[0]	[6.777269399997749]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_hi_e 		[]	[]	[]	[]	[]	[]	[]	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_oo_	cool	[0.022135416666666668]	[-0.3046875]	[1]	[0]	[0]	[5.478755899999669]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	_a_r_c	naarc	[]	[]	[]	[]	[]	[]	[]	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"	t_a_h_r 		[0.022135416666666668]	[-0.3046875]	[1]	[0]	[0]	[0.2464217999986431]	['text_3']	2001	1	2022-10-20_19h52.12.054	word_fragment	2022.2.4	60.1029082"
"															"
"															"
"				Prop Hit of primed words 	8	0.4									"
"				Prop Hit of unprimed words 	9	0.45									"
"															"
"				Priming score 	-0.05										"
